time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,size_array,fopts_size
2020-05-01T00:03:32.654561Z,26012682,QIImASYAKtQBA6sVJgKFV96kBg==,0000024b0b031c97,1,867300000,7.0,125.0,4/5,-81,9.8,-1,10,54314,1.0,19,0.0
2020-05-01T00:03:33.582464Z,0004b0b2,QLKwBAAAZDIFRrz7/nCaexKdknz9+jVbiwmH2OI=,0000024b0b031c97,1,867700000,12.0,125.0,4/5,-111,-13.2,-1,10,12900,5.0,29,0.0
2020-05-01T00:03:35.563905Z,2700820e,gA6CACeAoQAoh41USqKEIxZWZXf88CAoyV8qTg==,0000024b0b031c97,1,867900000,9.0,125.0,4/5,-111,-11.0,-1,100,161,40.0,28,0.0
2020-05-01T00:03:39.418293Z,-1,AGNjbm9icmFjiBkE/v9YF6jWfzKvBkQ=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-96,3.5,-1,0,-1,-1.0,23,2.0
2020-05-01T00:03:45.430452Z,0058a7a9,QKmnWAAAZTIF4ODDvFWSWb4O6dhUJkDwliiJ+10=,0000024b0b031c97,1,867700000,12.0,125.0,4/5,-107,-6.5,-1,10,12901,5.0,29,0.0
2020-05-01T00:03:46.449988Z,-1,AGNjbm9icmFjiBkE/v9YF6hfAdi3Mjw=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-101,-4.8,-1,0,-1,-1.0,23,2.0
2020-05-01T00:03:53.483624Z,-1,AGNjbm9icmFjiBkE/v9YF6jNnW/G4p4=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-100,5.0,-1,0,-1,-1.0,23,2.0
2020-05-01T00:03:54.799057Z,26012682,QIImASYAK9QBMexkA832YGX2Zg==,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-76,7.8,-1,10,54315,1.0,19,0.0
2020-05-01T00:03:57.028575Z,26012461,QGEkASaAh1cFo53mW1VfcqtqD3oju90YCsY4cxXT,0000024b0b031c97,1,868100000,12.0,125.0,4/5,-111,-1.8,-1,10,22407,5.0,30,0.0
2020-05-01T00:04:00.517271Z,-1,AGNjbm9icmFjiBkE/v9YF6iSCm0yOoU=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-96,2.2,-1,0,-1,-1.0,23,2.0
2020-05-01T00:04:07.550915Z,-1,AGNjbm9icmFjiBkE/v9YF6gBpPJiW2M=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-101,1.5,-1,0,-1,-1.0,23,2.0
2020-05-01T00:04:08.406709Z,-1,EmABexRXV2l7eP3XEWQlXgON6K3RwR4cN/q7be/FCWRqnuA=,0000024b0b031c97,1,868300000,8.0,125.0,4/5,-103,-3.8,-1,0,-1,-1.0,35,7.0
2020-05-01T00:04:08.518389Z,27007d0b,QAt9ACcAAgACD/w8zRITdN/Xg3oRs+Huy88d6OKJ,0000024b0b031c97,1,868500000,8.0,125.0,4/5,-97,-3.5,-1,10,2,2.0,30,0.0
2020-05-01T00:04:16.943720Z,26012682,QIImASYALNQBt1vyt6FSBXFxaA==,0000024b0b031c97,1,867100000,7.0,125.0,4/5,-81,10.0,-1,10,54316,1.0,19,0.0
